session_test_id,code_anonyme,age,genre,musicien,musicien_longueur,musicien_debut,musicien_diplome,deficience,info_methode,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,G_P1,AC3G_2C_DN,71,8637,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,G_P1,reference,100,8637,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P1,AA7S_1C_DN,100,6563,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P1,reference,0,6563,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P1,AI2S_3C_DN,0,6563,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P1,AC3S_1C_DN,7,6563,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P3,AA7S_1C_DN,92,7395,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P3,reference,1,7395,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P3,AR1S_1C_DN,68,7395,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P3,AI2S_3C_DN,0,7395,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P2,reference,98,6922,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P2,AR1S_1C_DN,82,6922,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P2,AA7S_1C_DN,32,6922,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,S_P2,AC3S_1C_DN,76,6922,
test_clarinette_casque,TV,fez,homme,oui,fez,fez,non,oui,fez,ad098e52-bb3a-424c-85b0-957dfb3d357a,Entrainement,AEN_5,50,2152,
test_clarinette_casque,TV,fez,homme,oui,fez,fez,non,oui,fez,ad098e52-bb3a-424c-85b0-957dfb3d357a,Entrainement,reference,50,2152,
test_clarinette_casque,TV,fez,homme,oui,fez,fez,non,oui,fez,ad098e52-bb3a-424c-85b0-957dfb3d357a,Entrainement,AEN_4,50,2152,
test_clarinette_casque,TV,fez,homme,oui,fez,fez,non,oui,fez,ad098e52-bb3a-424c-85b0-957dfb3d357a,Entrainement,AEN_3,50,2152,
test_clarinette_casque,TV,fez,homme,oui,fez,fez,non,oui,fez,ad098e52-bb3a-424c-85b0-957dfb3d357a,Entrainement,AEN_2,50,2152,
test_clarinette_casque,TV,fez,homme,oui,fez,fez,non,oui,fez,ad098e52-bb3a-424c-85b0-957dfb3d357a,P_P3,reference,50,1482,
